组播,#genre#
CCTV -1综合高清,http://ly01.eu.org:10000/udp/239.77.0.86:5146
CCTV -2财经高清,http://ly01.eu.org:10000/udp/239.77.0.137:5146
CCTV -7军事农业高清,http://ly01.eu.org:10000/udp/239.77.0.138:5146
CCTV-10科教高清,http://ly01.eu.org:10000/udp/239.77.0.134:5146
CCTV -1综合,http://ly01.eu.org:10000/udp/239.77.0.30:5146
CCTV -2财经,http://ly01.eu.org:10000/udp/239.77.0.31:5146
CCTV -7军事农业,http://ly01.eu.org:10000/udp/239.77.0.36:5146
CCTV -10科教,http://ly01.eu.org:10000/udp/239.77.0.39:5146
广东卫视,http://ly01.eu.org:10000/udp/239.77.0.2:5146
广东珠江,http://ly01.eu.org:10000/udp/239.77.0.3:5146
广东新闻,http://ly01.eu.org:10000/udp/239.77.0.4:5146
广东公共,http://ly01.eu.org:10000/udp/239.77.0.5:5146
广东体育,http://ly01.eu.org:10000/udp/239.77.0.6:5146
广东国际,http://ly01.eu.org:10000/udp/239.77.0.7:5146
经济科教,http://ly01.eu.org:10000/udp/239.77.0.8:5146
南方卫视,http://ly01.eu.org:10000/udp/239.77.0.9:5146
广东影视,http://ly01.eu.org:10000/udp/239.77.0.11:5146
广东少儿,http://ly01.eu.org:10000/udp/239.77.0.12:5146
嘉佳卡通,http://ly01.eu.org:10000/udp/239.77.0.13:5146
广东综艺(4k),http://ly01.eu.org:10000/udp/239.77.0.244:5146
广东综艺 宽色域(4k),http://ly01.eu.org:10000/udp/239.77.0.246:5146
广东综艺(4k),http://ly01.eu.org:10000/udp/239.77.0.245:5146
南方购物-精选,http://ly01.eu.org:10000/udp/239.77.0.19:5146
广东综艺 宽色域AVS2(4k),http://ly01.eu.org:10000/udp/239.77.0.252:5146
广东移动,http://ly01.eu.org:10000/udp/239.77.0.20:5146
南方购物,http://ly01.eu.org:10000/udp/239.77.0.22:5146
岭南戏曲,http://ly01.eu.org:10000/udp/239.77.0.16:5146
广东房产,http://ly01.eu.org:10000/udp/239.77.0.14:5146
现代教育,http://ly01.eu.org:10000/udp/239.77.0.18:5146
CCTV-1综合,http://ly01.eu.org:10000/udp/239.77.0.30:5146
CCTV-2财经,http://ly01.eu.org:10000/udp/239.77.0.31:5146
CCTV-3综艺,http://ly01.eu.org:10000/udp/239.0.10.52:5052
CCTV-4中文国际,http://ly01.eu.org:10000/udp/239.77.0.33:5146
CCTV-5体育,http://ly01.eu.org:10000/udp/239.0.10.53:5053
CCTV-6电影,http://ly01.eu.org:10000/udp/239.0.10.54:5054
CCTV-7国防军事,http://ly01.eu.org:10000/udp/239.77.0.36:5146
CCTV-8电视剧,http://ly01.eu.org:10000/udp/239.0.10.55:5055
CCTV-9纪录,http://ly01.eu.org:10000/udp/239.77.0.38:5146
CCTV-10科教,http://ly01.eu.org:10000/udp/239.77.0.39:5146
CCTV-11戏曲,http://ly01.eu.org:10000/udp/239.77.0.40:5146
CCTV-12社会与法,http://ly01.eu.org:10000/udp/239.77.0.41:5146
CCTV-13新闻,http://ly01.eu.org:10000/udp/239.77.0.42:5146
CCTV-14少儿,http://ly01.eu.org:10000/udp/239.77.0.43:5146
CCTV-15音乐,http://ly01.eu.org:10000/udp/239.77.0.44:5146
CCTV-NEWS,http://ly01.eu.org:10000/udp/239.77.0.45:5146
CCTV-17农业,http://ly01.eu.org:10000/udp/239.77.0.115:5146
湖南卫视,http://ly01.eu.org:10000/udp/239.77.0.46:5146
浙江卫视,http://ly01.eu.org:10000/udp/239.77.0.47:5146
江苏卫视,http://ly01.eu.org:10000/udp/239.77.0.48:5146
东方卫视,http://ly01.eu.org:10000/udp/239.77.0.49:5146
安徽卫视,http://ly01.eu.org:10000/udp/239.77.0.50:5146
北京卫视,http://ly01.eu.org:10000/udp/239.77.0.51:5146
天津卫视,http://ly01.eu.org:10000/udp/239.77.0.52:5146
山东卫视,http://ly01.eu.org:10000/udp/239.77.0.53:5146
江西卫视,http://ly01.eu.org:10000/udp/239.77.0.54:5146
深圳卫视,http://ly01.eu.org:10000/udp/239.77.0.55:5146
湖北卫视,http://ly01.eu.org:10000/udp/239.77.0.56:5146
辽宁卫视,http://ly01.eu.org:10000/udp/239.77.0.57:5146
黑龙江卫视,http://ly01.eu.org:10000/udp/239.77.0.58:5146
贵州卫视,http://ly01.eu.org:10000/udp/239.77.0.59:5146
四川卫视,http://ly01.eu.org:10000/udp/239.77.0.60:5146
河南卫视,http://ly01.eu.org:10000/udp/239.77.0.61:5146
云南卫视,http://ly01.eu.org:10000/udp/239.77.0.62:5146
重庆卫视,http://ly01.eu.org:10000/udp/239.77.0.63:5146
河北卫视,http://ly01.eu.org:10000/udp/239.77.0.64:5146
东南卫视,http://ly01.eu.org:10000/udp/239.77.0.65:5146
广西卫视,http://ly01.eu.org:10000/udp/239.77.0.66:5146
吉林卫视,http://ly01.eu.org:10000/udp/239.77.0.67:5146
陕西卫视,http://ly01.eu.org:10000/udp/239.77.0.68:5146
山西卫视,http://ly01.eu.org:10000/udp/239.77.0.69:5146
内蒙古卫视,http://ly01.eu.org:10000/udp/239.77.0.70:5146
青海卫视,http://ly01.eu.org:10000/udp/239.77.0.71:5146
海南卫视,http://ly01.eu.org:10000/udp/239.77.0.72:5146
宁夏卫视,http://ly01.eu.org:10000/udp/239.77.0.73:5146
西藏卫视,http://ly01.eu.org:10000/udp/239.77.0.74:5146
新疆卫视,http://ly01.eu.org:10000/udp/239.77.0.75:5146
甘肃卫视,http://ly01.eu.org:10000/udp/239.77.0.76:5146
兵团卫视,http://ly01.eu.org:10000/udp/239.77.0.77:5146
卡酷动画,http://ly01.eu.org:10000/udp/239.77.0.79:5146
金鹰卡通,http://ly01.eu.org:10000/udp/239.77.0.80:5146
炫动卡通,http://ly01.eu.org:10000/udp/239.77.0.81:5146
CETV-1,http://ly01.eu.org:10000/udp/239.77.0.82:5146
山东教育,http://ly01.eu.org:10000/udp/239.77.0.83:5146
财富天下,http://ly01.eu.org:10000/udp/239.77.0.113:5146
厦门卫视,http://ly01.eu.org:10000/udp/239.77.0.96:5146
优漫卡通,http://ly01.eu.org:10000/udp/239.77.0.222:5146
三沙卫视,http://ly01.eu.org:10000/udp/239.77.0.152:5146
吉林延边卫视,http://ly01.eu.org:10000/udp/239.77.0.10:5146
CETV2,http://ly01.eu.org:10000/udp/239.77.0.28:5146
CETV4,http://ly01.eu.org:10000/udp/239.77.0.29:5146
广东卫视高清,http://ly01.eu.org:10000/udp/239.77.0.84:5146
经济科教高清,http://ly01.eu.org:10000/udp/239.77.0.85:5146
广东体育高清-测试,http://ly01.eu.org:10000/udp/239.77.0.112:5146
广东珠江高清,http://ly01.eu.org:10000/udp/239.77.0.1:5146
南方卫视高清,http://ly01.eu.org:10000/udp/239.77.0.215:5146
广东影视高清,http://ly01.eu.org:10000/udp/239.77.0.217:5146
广东公共高清,http://ly01.eu.org:10000/udp/239.77.0.225:5146
广东少儿高清,http://ly01.eu.org:10000/udp/239.77.0.250:5146
广东新闻高清,http://ly01.eu.org:10000/udp/239.77.0.173:5146
嘉佳卡通高清,http://ly01.eu.org:10000/udp/239.77.0.179:5146
CCTV-1高清,http://ly01.eu.org:10000/udp/239.77.0.86:5146
CCTV5＋体育高清-测试,http://ly01.eu.org:10000/udp/239.77.0.87:5146
CCTV-2高清测试,http://ly01.eu.org:10000/udp/239.77.0.137:5146
CCTV-3高清,http://ly01.eu.org:10000/udp/239.77.0.169:5146
CCTV-4高清,http://ly01.eu.org:10000/udp/239.77.0.78:5146
CCTV-5高清,http://ly01.eu.org:10000/udp/239.77.0.170:5146
CCTV-6高清,http://ly01.eu.org:10000/udp/239.77.0.171:5146
CCTV-7高清测试,http://ly01.eu.org:10000/udp/239.77.0.138:5146
CCTV-8高清,http://ly01.eu.org:10000/udp/239.77.0.172:5146
CCTV-9高清测试,http://ly01.eu.org:10000/udp/239.77.0.135:5146
CCTV-10高清测试,http://ly01.eu.org:10000/udp/239.77.0.134:5146
CCTV-11高清,http://ly01.eu.org:10000/udp/239.77.1.238:5146
CCTV-12高清测试,http://ly01.eu.org:10000/udp/239.77.0.136:5146
CCTV-13高清测试,http://ly01.eu.org:10000/udp/239.77.0.188:5146
CCTV-14高清测试,http://ly01.eu.org:10000/udp/239.77.0.133:5146
CCTV-15高清,http://ly01.eu.org:10000/udp/239.77.1.239:5146
IPTV5＋高清,http://ly01.eu.org:10000/udp/239.77.0.176:5146
CCTV-17农业高清,http://ly01.eu.org:10000/udp/239.77.0.198:5146
湖南卫视高清,http://ly01.eu.org:10000/udp/239.77.0.88:5146
浙江卫视高清,http://ly01.eu.org:10000/udp/239.77.0.89:5146
江苏卫视高清,http://ly01.eu.org:10000/udp/239.77.0.90:5146
北京卫视高清,http://ly01.eu.org:10000/udp/239.77.0.91:5146
深圳卫视高清,http://ly01.eu.org:10000/udp/239.77.0.92:5146
黑龙江卫视高清,http://ly01.eu.org:10000/udp/239.77.0.93:5146
湖北卫视高清,http://ly01.eu.org:10000/udp/239.77.0.95:5146
天津卫视高清,http://ly01.eu.org:10000/udp/239.77.0.97:5146
山东卫视高清,http://ly01.eu.org:10000/udp/239.77.0.94:5146
东方卫视高清,http://ly01.eu.org:10000/udp/239.77.0.98:5146
BTV冬奥纪实高清,http://ly01.eu.org:10000/udp/239.77.0.122:5146
辽宁卫视 高清,http://ly01.eu.org:10000/udp/239.77.0.123:5146
四川卫视高清,http://ly01.eu.org:10000/udp/239.77.0.159:5146
金鹰纪实高清测试,http://ly01.eu.org:10000/udp/239.77.0.160:5146
重庆卫视高清,http://ly01.eu.org:10000/udp/239.77.0.182:5146
安徽卫视高清,http://ly01.eu.org:10000/udp/239.77.0.183:5146
贵州卫视高清,http://ly01.eu.org:10000/udp/239.77.0.230:5146
中国教育-1高清,http://ly01.eu.org:10000/udp/239.77.0.200:5146
中国交通,http://ly01.eu.org:10000/udp/239.77.1.249:5146
福建东南卫视高清,http://ly01.eu.org:10000/udp/239.77.0.146:5146
上海纪实高清,http://ly01.eu.org:10000/udp/239.77.0.147:5146
河北卫视高清,http://ly01.eu.org:10000/udp/239.77.0.148:5146
江西卫视高清,http://ly01.eu.org:10000/udp/239.77.0.149:5146
吉林卫视高清,http://ly01.eu.org:10000/udp/239.77.0.150:5146
熊猫频道,http://ly01.eu.org:10000/udp/239.77.0.151:5146
广西卫视高清,http://ly01.eu.org:10000/udp/239.77.0.139:5146
CHC高清电影,http://ly01.eu.org:10000/udp/239.77.0.27:5146
茶,http://ly01.eu.org:10000/udp/239.77.0.15:5146
快乐垂钓,http://ly01.eu.org:10000/udp/239.77.0.145:5146
广东卫视超清,http://ly01.eu.org:10000/udp/239.77.0.166:5146
经济科教超清,http://ly01.eu.org:10000/udp/239.77.0.167:5146
广东体育超清,http://ly01.eu.org:10000/udp/239.77.0.168:5146
广东珠江超清,http://ly01.eu.org:10000/udp/239.77.0.114:5146
CCTV-1超清,http://ly01.eu.org:10000/udp/239.77.0.129:5146
CCTV-3超清,http://ly01.eu.org:10000/udp/239.77.0.175:5146
CCTV-5超清,http://ly01.eu.org:10000/udp/239.77.0.177:5146
CCTV-6超清,http://ly01.eu.org:10000/udp/239.77.0.178:5146
CCTV-8超清,http://ly01.eu.org:10000/udp/239.77.0.181:5146
湖南卫视超清,http://ly01.eu.org:10000/udp/239.77.0.127:5146
浙江卫视超清,http://ly01.eu.org:10000/udp/239.77.0.125:5146
江苏卫视超清,http://ly01.eu.org:10000/udp/239.77.0.126:5146
深圳卫视超清,http://ly01.eu.org:10000/udp/239.77.0.130:5146
黑龙江卫视超清,http://ly01.eu.org:10000/udp/239.77.0.124:5146
湖北卫视超清,http://ly01.eu.org:10000/udp/239.77.0.128:5146
天津卫视超清,http://ly01.eu.org:10000/udp/239.77.0.131:5146
山东卫视超清,http://ly01.eu.org:10000/udp/239.77.0.132:5146
BTV冬奥纪实超清,http://ly01.eu.org:10000/udp/239.77.0.184:5146
辽宁卫视超清,http://ly01.eu.org:10000/udp/239.77.0.161:5146
金鹰纪实超清测试,http://ly01.eu.org:10000/udp/239.77.0.162:5146
四川卫视超清,http://ly01.eu.org:10000/udp/239.77.0.163:5146
IPTV谍战剧场,http://ly01.eu.org:10000/udp/239.77.0.99:5146
IPTV相声小品,http://ly01.eu.org:10000/udp/239.77.0.100:5146
IPTV野外,http://ly01.eu.org:10000/udp/239.77.0.101:5146
IPTV法治,http://ly01.eu.org:10000/udp/239.77.0.102:5146
IPTV6＋,http://ly01.eu.org:10000/udp/239.77.0.103:5146
经典电影,http://ly01.eu.org:10000/udp/239.77.0.104:5146
IPTV8＋,http://ly01.eu.org:10000/udp/239.77.0.105:5146
热播剧场,http://ly01.eu.org:10000/udp/239.77.0.106:5146
IPTV3＋,http://ly01.eu.org:10000/udp/239.77.0.107:5146
IPTV5＋,http://ly01.eu.org:10000/udp/239.77.0.108:5146
少儿动画,http://ly01.eu.org:10000/udp/239.77.0.109:5146
魅力时尚,http://ly01.eu.org:10000/udp/239.77.0.110:5146
收视指南,http://ly01.eu.org:10000/udp/239.77.0.111:5146
极k影视-测试,http://ly01.eu.org:10000/udp/239.253.43.218:5146
爱上4K,http://ly01.eu.org:10000/udp/239.253.43.219:5146
极K精选-测试,http://ly01.eu.org:10000/udp/239.77.0.231:5146
精选4k频道1,http://ly01.eu.org:10000/udp/239.77.0.232:5146
精选4k频道2,http://ly01.eu.org:10000/udp/239.77.0.233:5146
4k测试频道8,http://ly01.eu.org:10000/udp/239.77.0.249:5146
精选4k频道3,http://ly01.eu.org:10000/udp/239.77.0.153:5146
足球,http://ly01.eu.org:10000/udp/239.77.1.235:5146
汽摩,http://ly01.eu.org:10000/udp/239.77.0.209:5146
梨园,http://ly01.eu.org:10000/udp/239.77.0.210:5146
游戏竞技,http://ly01.eu.org:10000/udp/239.77.0.211:5146
靓妆,http://ly01.eu.org:10000/udp/239.77.0.212:5146
早期教育,http://ly01.eu.org:10000/udp/239.77.0.213:5146
武术世界,http://ly01.eu.org:10000/udp/239.77.0.216:5146
现代女性,http://ly01.eu.org:10000/udp/239.77.0.219:5146
老故事,http://ly01.eu.org:10000/udp/239.77.0.220:5146
中学生,http://ly01.eu.org:10000/udp/239.77.0.223:5146
环球奇观,http://ly01.eu.org:10000/udp/239.77.0.224:5146
国学,http://ly01.eu.org:10000/udp/239.77.0.226:5146
文物宝库,http://ly01.eu.org:10000/udp/239.77.0.227:5146
兵器科技高清,http://ly01.eu.org:10000/udp/239.253.43.18:5146
电视指南高清,http://ly01.eu.org:10000/udp/239.253.43.19:5146
风云足球高清,http://ly01.eu.org:10000/udp/239.253.43.20:5146
央视台球高清,http://ly01.eu.org:10000/udp/239.253.43.21:5146
高尔夫网球高清,http://ly01.eu.org:10000/udp/239.253.43.22:5146
女性时尚高清,http://ly01.eu.org:10000/udp/239.253.43.23:5146
世界地理高清,http://ly01.eu.org:10000/udp/239.253.43.24:5146
怀旧剧场高清,http://ly01.eu.org:10000/udp/239.253.43.25:5146
风云剧场高清,http://ly01.eu.org:10000/udp/239.253.43.26:5146
央视精品高清,http://ly01.eu.org:10000/udp/239.253.43.27:5146
第一剧场高清,http://ly01.eu.org:10000/udp/239.253.43.28:5146
风云音乐高清,http://ly01.eu.org:10000/udp/239.253.43.29:5146
PPTV-1,http://ly01.eu.org:10000/udp/239.77.1.183:5146
PPTV-2,http://ly01.eu.org:10000/udp/239.77.1.184:5146
PPTV-3,http://ly01.eu.org:10000/udp/239.77.1.185:5146
PPTV-4,http://ly01.eu.org:10000/udp/239.77.1.186:5146
中甲联赛,http://ly01.eu.org:10000/udp/239.77.0.185:5146
九频同播频道,http://ly01.eu.org:10000/udp/239.0.10.115:5115
精选频道1,http://ly01.eu.org:10000/udp/239.77.0.186:5146
